interaction,bucket_a,bucket_b,cell,horizon_d,sample_count,is_underpowered,mean_return,trimmed_mean_5pct,median_return,std_return,hit_rate,p10_return,p90_return,mean_simple_net_return,mean_close_mae,mean_close_mfe,interaction_lift
rs_x_compression,RS_T1_low,_MARGINAL_A_,RS_T1_low|_marginal_,5,16040,false,0.004623620826877748,,,,,,,,,,0.0
rs_x_compression,RS_T2_mid,_MARGINAL_A_,RS_T2_mid|_marginal_,5,15148,false,0.003252254718447875,,,,,,,,,,0.0
rs_x_compression,RS_T3_high,_MARGINAL_A_,RS_T3_high|_marginal_,5,15756,false,0.007015774561704322,,,,,,,,,,0.0
rs_x_compression,RS_T1_low,comp_no,RS_T1_low|comp_no,5,13547,false,0.004962792155236093,0.003216896336267809,0.001818181818181941,0.0558540627322703,0.5088949582933491,-0.053820107996185106,0.0647590582933049,-0.0008872078447639066,-0.019924122725077403,0.026918782801849495,0.000045776398657971194
rs_x_compression,RS_T1_low,comp_yes,RS_T1_low|comp_yes,5,2493,false,0.0027805586586986506,0.0007405481776486833,0.0,0.05565010382260433,0.4805455274769354,-0.05217391304347829,0.05826660043053502,-0.0030694413413013483,-0.019865298478437227,0.025256624833293023,0.0008499114146648234
rs_x_compression,RS_T2_mid,comp_no,RS_T2_mid|comp_no,5,13571,false,0.003582778713899204,0.0024624481813927605,0.001814882032667997,0.04764559404354505,0.5123424950261587,-0.04186795491143325,0.04863221884498481,-0.0022672212861007952,-0.01641651783779549,0.021134567071906325,0.000037129065750955356
rs_x_compression,RS_T2_mid,comp_yes,RS_T2_mid|comp_yes,5,1577,false,0.0004079039624111021,-0.000046929407366710186,0.0,0.04131109618190727,0.4895370957514268,-0.04059582693729038,0.03884867405399844,-0.005442096037588898,-0.016211178995290676,0.016869049757423888,-0.0001513771731928527
rs_x_compression,RS_T3_high,comp_no,RS_T3_high|comp_no,5,15214,false,0.007069117840748876,0.003859787192199663,0.0,0.07138082052055436,0.49441304062048114,-0.06454714640198511,0.08431086985303853,0.001219117840748876,-0.02345857646863506,0.0334715261502703,-0.00024005165065581983
rs_x_compression,RS_T3_high,comp_yes,RS_T3_high|comp_yes,5,542,false,0.005518422813763686,0.0031714874027056715,0.0030282331511839455,0.05985332634374308,0.5202952029520295,-0.05450886574725585,0.06137315152679094,-0.00033157718623631673,-0.018320752282431105,0.024938072108872538,0.0011956218349032845
rs_x_compression,RS_T1_low,_MARGINAL_A_,RS_T1_low|_marginal_,10,7993,false,0.009642009541695166,,,,,,,,,,0.0
rs_x_compression,RS_T2_mid,_MARGINAL_A_,RS_T2_mid|_marginal_,10,7639,false,0.006551266433145884,,,,,,,,,,0.0
rs_x_compression,RS_T3_high,_MARGINAL_A_,RS_T3_high|_marginal_,10,7825,false,0.014045597703050638,,,,,,,,,,0.0
rs_x_compression,RS_T1_low,comp_no,RS_T1_low|comp_no,10,6701,false,0.010353014375065736,0.0068487594154270385,0.003992015968063978,0.08158044215415969,0.5215639456797493,-0.07373271889400923,0.09710743801652888,0.004503014375065736,-0.03442403177405001,0.04644238295618152,0.00011237400261605857
rs_x_compression,RS_T1_low,comp_yes,RS_T1_low|comp_yes,10,1292,false,0.0059543598602584845,0.0006016789160208222,-0.0023321604656719175,0.08929531715761366,0.4729102167182663,-0.07539494876803401,0.08452233067139896,0.00010435986025848488,-0.036169285840723736,0.04408974300583974,0.0016536870838361264
rs_x_compression,RS_T2_mid,comp_no,RS_T2_mid|comp_no,10,6836,false,0.007361161528238089,0.0049497609047200325,0.003616648354523133,0.07203491963099491,0.522674078408426,-0.06287187039764353,0.07810076679807665,0.0015111615282380896,-0.028928467766916068,0.03759341456935722,0.0002112642643376933
rs_x_compression,RS_T2_mid,comp_yes,RS_T2_mid|comp_yes,10,803,false,-0.00034343203516086447,-0.0028554695883298577,-0.0032206119162641045,0.057732939071023615,0.44458281444582815,-0.0581047324161172,0.05623643208485613,-0.006193432035160865,-0.02855354580841921,0.028681082068573113,-0.0015533617030339397
rs_x_compression,RS_T3_high,comp_no,RS_T3_high|comp_no,10,7556,false,0.01403705883147107,0.008398994565834317,0.003257363551481207,0.10441512957215097,0.5141609317098994,-0.08994552245092807,0.12853219080854084,0.008187058831471068,-0.04030321936068954,0.05863466992146153,-0.0006071697023340792
rs_x_compression,RS_T3_high,comp_yes,RS_T3_high|comp_yes,10,269,false,0.01428544793968725,0.006976183799287993,0.0,0.10217027412008765,0.4944237918215613,-0.06277264122472496,0.10250000000000024,0.008435447939687249,-0.03131145903417733,0.04802237412199251,0.00558118700190942
rs_x_compression,RS_T1_low,_MARGINAL_A_,RS_T1_low|_marginal_,20,4004,false,0.017814481158444164,,,,,,,,,,0.0
rs_x_compression,RS_T2_mid,_MARGINAL_A_,RS_T2_mid|_marginal_,20,3735,false,0.014986663064180157,,,,,,,,,,0.0
rs_x_compression,RS_T3_high,_MARGINAL_A_,RS_T3_high|_marginal_,20,3970,false,0.02901452486035468,,,,,,,,,,0.0
rs_x_compression,RS_T1_low,comp_no,RS_T1_low|comp_no,20,3346,false,0.017687477740551537,0.011127557714248306,0.005905534695016423,0.12074325810045612,0.531679617453676,-0.10137648809523808,0.14517043905099536,0.011837477740551538,-0.05251208839920681,0.07576696729593196,-0.0008800440194858261
rs_x_compression,RS_T1_low,comp_yes,RS_T1_low|comp_yes,20,658,false,0.018460307049430087,0.008326529951779932,0.005693470048569904,0.13054308748963808,0.5227963525835866,-0.09539993845279804,0.12875349962828822,0.012610307049430091,-0.05361544970886225,0.07590665958692426,0.007314799097519604
rs_x_compression,RS_T2_mid,comp_no,RS_T2_mid|comp_no,20,3356,false,0.016546883830244913,0.011184664564517268,0.008783570056396961,0.1068538273998156,0.5554231227651967,-0.08931759759911873,0.12191588423299382,0.010696883830244912,-0.042867095325131284,0.06537505467034105,0.0008071801644715555
rs_x_compression,RS_T2_mid,comp_yes,RS_T2_mid|comp_yes,20,379,false,0.0011710934311634916,-0.003939080427567536,-0.004168596572487249,0.09515061490870454,0.45910290237467016,-0.10079753579753585,0.08455417650194173,-0.0046789065688365205,-0.046903469463307375,0.051684137247071445,-0.0071465964264829825
rs_x_compression,RS_T3_high,comp_no,RS_T3_high|comp_no,20,3819,false,0.029090805974367657,0.01716341458764395,0.004474272930648837,0.16101830200893488,0.5145326001571092,-0.12551684015874004,0.19916934731447827,0.023240805974367656,-0.05924775413920928,0.1018728200862763,-0.0006767594875802217
rs_x_compression,RS_T3_high,comp_yes,RS_T3_high|comp_yes,20,151,false,0.027085269400648884,0.006965708118378257,-0.0013297872340425343,0.22656890292535833,0.48344370860927155,-0.1322314049586777,0.18571428571428572,0.021235269400648904,-0.05706783561720789,0.09362966896281096,0.004739717746827885
rs_x_failed_breakdown,RS_T1_low,_MARGINAL_A_,RS_T1_low|_marginal_,5,16040,false,0.004623620826877748,,,,,,,,,,0.0
rs_x_failed_breakdown,RS_T2_mid,_MARGINAL_A_,RS_T2_mid|_marginal_,5,15148,false,0.003252254718447875,,,,,,,,,,0.0
rs_x_failed_breakdown,RS_T3_high,_MARGINAL_A_,RS_T3_high|_marginal_,5,15756,false,0.007015774561704322,,,,,,,,,,0.0
rs_x_failed_breakdown,RS_T1_low,has_absorption,RS_T1_low|has_absorption,5,6154,false,0.006037286186226759,0.003210094785173632,0.0,0.0577208021957484,0.49983750406239846,-0.05357142857142857,0.06801904761904769,0.0001872861862267603,-0.019130228047041214,0.028373907157342747,0.0014922283692096125
rs_x_failed_breakdown,RS_T1_low,no_absorption,RS_T1_low|no_absorption,5,9886,false,0.003743619145567429,0.002626364880832355,0.0017482731218290137,0.054598245736813794,0.5073841796479871,-0.053560309553460195,0.06126304169782437,-0.0021063808544325695,-0.020403485359283425,0.02559381870117008,-0.0009465351359589664
rs_x_failed_breakdown,RS_T2_mid,has_absorption,RS_T2_mid|has_absorption,5,9119,false,0.003049573109305378,0.0018185348902104936,0.0010384215991694479,0.04670963844503601,0.5012611031911394,-0.04160638939119947,0.04779704710569491,-0.0028004268906946217,-0.016103398984008335,0.020641094271879608,-0.00012411859928189613
rs_x_failed_breakdown,RS_T2_mid,no_absorption,RS_T2_mid|no_absorption,5,6029,false,0.0035588152747209607,0.002746092216613103,0.002812939521800395,0.04752438076639843,0.523138165533256,-0.04168655529037405,0.048034934497816595,-0.002291184725279039,-0.016836406952583177,0.02076522848482801,0.00024002710162443833
rs_x_failed_breakdown,RS_T3_high,has_absorption,RS_T3_high|has_absorption,5,6253,false,0.00649796478254178,0.0035553192994089294,0.0,0.07095868211517525,0.4951223412761874,-0.06480117820324005,0.08269705603038947,0.0006479647825417802,-0.022897597141118355,0.032828444287838765,-0.00043924676930194063
rs_x_failed_breakdown,RS_T3_high,no_absorption,RS_T3_high|no_absorption,5,9503,false,0.007356494813109498,0.004016470805836732,0.0,0.07105254933382028,0.4954224981584763,-0.06382978723404253,0.0831098206929023,0.0015064948131094979,-0.02353466854756165,0.033407973461155996,0.00027418679675652886
rs_x_failed_breakdown,RS_T1_low,_MARGINAL_A_,RS_T1_low|_marginal_,10,7993,false,0.009642009541695166,,,,,,,,,,0.0
rs_x_failed_breakdown,RS_T2_mid,_MARGINAL_A_,RS_T2_mid|_marginal_,10,7639,false,0.006551266433145884,,,,,,,,,,0.0
rs_x_failed_breakdown,RS_T3_high,_MARGINAL_A_,RS_T3_high|_marginal_,10,7825,false,0.014045597703050638,,,,,,,,,,0.0
rs_x_failed_breakdown,RS_T1_low,has_absorption,RS_T1_low|has_absorption,10,3136,false,0.012193608886931563,0.007020775950030563,0.0022199773320850102,0.08653782087846139,0.5070153061224489,-0.0716164715340426,0.10263852867371259,0.006343608886931561,-0.033770858437500356,0.04831409900454184,0.0025577010656026283
rs_x_failed_breakdown,RS_T1_low,no_absorption,RS_T1_low|no_absorption,10,4857,false,0.007994528473821717,0.0051879803545273225,0.0033333333333334103,0.08040637931378104,0.5180152357422277,-0.07545490465198491,0.09067257786755803,0.0021445284738217177,-0.03531001485775644,0.04460805881710399,-0.0016526421783720786
rs_x_failed_breakdown,RS_T2_mid,has_absorption,RS_T2_mid|has_absorption,10,4538,false,0.006678019102024246,0.0037958389198215134,0.001265022643985425,0.07211872261709978,0.5044072278536801,-0.0611510791366906,0.07581204819277113,0.0008280191020242468,-0.028632140637063215,0.03654013531492629,0.0001328543892445931
rs_x_failed_breakdown,RS_T2_mid,no_absorption,RS_T2_mid|no_absorption,10,3101,false,0.006365776716483513,0.004517850656282269,0.004013377926421313,0.06859229078164687,0.5291841341502741,-0.06451612903225812,0.07560137457044669,0.0005157767164835139,-0.02926502700025993,0.036826945126750936,-0.00019065082716099996
rs_x_failed_breakdown,RS_T3_high,has_absorption,RS_T3_high|has_absorption,10,3075,false,0.013009213730929716,0.008257902946216079,0.0052631578947368585,0.10295342405957536,0.5242276422764227,-0.09358333333333341,0.12234883790853601,0.0071592137309297145,-0.03978396177931366,0.05731002835541052,-0.0010302822517546904
rs_x_failed_breakdown,RS_T3_high,no_absorption,RS_T3_high|no_absorption,10,4750,false,0.01471651995868682,0.008402265842497394,0.002029427209357504,0.10522076031267646,0.5065263157894737,-0.08584907787347248,0.13184564359287781,0.008866519958686819,-0.040130152736457765,0.05889120997315621,0.0006657611451375521
rs_x_failed_breakdown,RS_T1_low,_MARGINAL_A_,RS_T1_low|_marginal_,20,4004,false,0.017814481158444164,,,,,,,,,,0.0
rs_x_failed_breakdown,RS_T2_mid,_MARGINAL_A_,RS_T2_mid|_marginal_,20,3735,false,0.014986663064180157,,,,,,,,,,0.0
rs_x_failed_breakdown,RS_T3_high,_MARGINAL_A_,RS_T3_high|_marginal_,20,3970,false,0.02901452486035468,,,,,,,,,,0.0
rs_x_failed_breakdown,RS_T1_low,has_absorption,RS_T1_low|has_absorption,20,1515,false,0.017358982879223748,0.007669632633648847,0.0014471780028944004,0.134576774660399,0.5056105610561056,-0.10656168781531879,0.14860248447204996,0.011508982879223747,-0.05424980842041654,0.08015432304182289,-0.0019407883572549467
rs_x_failed_breakdown,RS_T1_low,no_absorption,RS_T1_low|no_absorption,20,2489,false,0.018091733023859566,0.012529226533963083,0.009433962264151052,0.11436724267923616,0.545198875050221,-0.09634460747438298,0.13771079073831385,0.012241733023859565,-0.05174606425682857,0.07313340906871148,0.0014414531834360637
rs_x_failed_breakdown,RS_T2_mid,has_absorption,RS_T2_mid|has_absorption,20,2141,false,0.017369777068595302,0.011341470191677543,0.007625272331154731,0.10517614157298413,0.5478748248482018,-0.08695652173913049,0.12718600953895076,0.011519777068595305,-0.042008496219434664,0.06530064578923227,0.0008978239263806136
