interaction,bucket_a,bucket_b,cell,horizon_d,sample_count,is_underpowered,mean_return,trimmed_mean_5pct,median_return,std_return,hit_rate,p10_return,p90_return,mean_simple_net_return,mean_close_mae,mean_close_mfe,interaction_lift
rs_x_compression,RS_T1_low,_MARGINAL_A_,RS_T1_low|_marginal_,5,2516,false,0.0018136484732261824,,,,,,,,,,0.0
rs_x_compression,RS_T2_mid,_MARGINAL_A_,RS_T2_mid|_marginal_,5,2107,false,0.0017890356985037629,,,,,,,,,,0.0
rs_x_compression,RS_T3_high,_MARGINAL_A_,RS_T3_high|_marginal_,5,2235,false,0.0054454141151283044,,,,,,,,,,0.0
rs_x_compression,RS_T1_low,comp_no,RS_T1_low|comp_no,5,2108,false,0.0013334096548858324,-0.00007863244480816745,0.0,0.06091740020902075,0.4824478178368121,-0.0651336898395722,0.0648599605522683,-0.004516590345114166,-0.023115234124656294,0.024000212208544276,-0.00039878485139904036
rs_x_compression,RS_T1_low,comp_yes,RS_T1_low|comp_yes,5,408,false,0.0042948823679846565,0.0006184121809490269,0.0,0.05245163005266266,0.4950980392156863,-0.04649293227038257,0.04878942350571269,-0.0015551176320153447,-0.01770119070552555,0.02485802094132373,0.0016190876838560304
rs_x_compression,RS_T2_mid,comp_no,RS_T2_mid|comp_no,5,1959,false,0.001846529200508937,-0.00008759408633694275,0.0,0.050161713570679986,0.47166921898928027,-0.048304689959080854,0.05060277275467136,-0.004003470799491062,-0.018193253637558436,0.019825781740854514,0.00013894746894648358
rs_x_compression,RS_T2_mid,comp_yes,RS_T2_mid|comp_yes,5,148,false,0.001028023736151492,0.00008538136015485665,-0.0007987220447284726,0.036548199181853196,0.47297297297297297,-0.031591429165799954,0.03429487179487187,-0.004821976263848507,-0.014895029574122122,0.016184018924091294,-0.0016231581732547148
rs_x_compression,RS_T3_high,comp_no,RS_T3_high|comp_no,5,2199,false,0.0053636591494919846,0.0028773132161973042,-0.001204819277108471,0.078976491163618,0.47658026375625284,-0.0715910720620759,0.0943888675131463,-0.0004863408505080153,-0.02717120368102245,0.0347303701872234,-3.0099869501032384e-7
rs_x_compression,RS_T3_high,comp_yes,RS_T3_high|comp_yes,5,36,false,0.010439279932746848,0.0074252947208501155,0.01072905046262873,0.08187997633527241,0.6388888888888888,-0.06865532465555302,0.06567066316972647,0.004589279932746849,-0.0158066769597172,0.029977675411398,0.0041317196067161
rs_x_compression,RS_T1_low,_MARGINAL_A_,RS_T1_low|_marginal_,10,2513,false,0.011135117861012416,,,,,,,,,,0.0
rs_x_compression,RS_T2_mid,_MARGINAL_A_,RS_T2_mid|_marginal_,10,2106,false,0.009942800226136759,,,,,,,,,,0.0
rs_x_compression,RS_T3_high,_MARGINAL_A_,RS_T3_high|_marginal_,10,2233,false,0.020958483668157703,,,,,,,,,,0.0
rs_x_compression,RS_T1_low,comp_no,RS_T1_low|comp_no,10,2105,false,0.0109261402841206,0.006157291416719485,0.0037037037037037646,0.08063553107487625,0.5201900237529691,-0.07159029649595684,0.10291701130410828,0.005076140284120602,-0.03434556692737917,0.04448783903022649,-0.0005534820348961841
rs_x_compression,RS_T1_low,comp_yes,RS_T1_low|comp_yes,10,408,false,0.012213298741790042,0.004376129857344356,0.0008130081300813385,0.0949738265048094,0.5,-0.07790776152980879,0.09232834402470895,0.006363298741790045,-0.03278526358969148,0.04659087880798149,0.00472108275089138
rs_x_compression,RS_T2_mid,comp_no,RS_T2_mid|comp_no,10,1958,false,0.01029803017744066,0.00577729837825503,0.0018248235948358227,0.07053460822268959,0.5097037793667007,-0.0560735206841005,0.07973585363715445,0.004448030177440661,-0.027742833435166595,0.03763721703764425,0.000010725493299534525
rs_x_compression,RS_T2_mid,comp_yes,RS_T2_mid|comp_yes,10,148,false,0.005243203978481094,0.0033832857562017113,-0.004887289862455402,0.05390726062391594,0.41216216216216217,-0.04649648878341083,0.08510356326557507,-0.0006067960215189129,-0.023128325626637403,0.03034628659766815,-0.0010566943775419096
rs_x_compression,RS_T3_high,comp_no,RS_T3_high|comp_no,10,2197,false,0.021140499309128757,0.015354723333190315,0.005769230769230749,0.10827101216425383,0.5284478834774693,-0.08200433911882511,0.15057704149534218,0.015290499309128758,-0.04084950395311111,0.06444998441520225,-0.0001624888170333131
rs_x_compression,RS_T3_high,comp_yes,RS_T3_high|comp_yes,10,36,false,0.009850473578896377,0.003942023927827998,-0.012893858108215028,0.1204482525818545,0.3888888888888889,-0.07011279177606228,0.05840288608202371,0.004000473578896377,-0.03243352543020087,0.050258065697840686,-0.007465108219147571
rs_x_compression,RS_T1_low,_MARGINAL_A_,RS_T1_low|_marginal_,20,2495,false,0.020945587712008048,,,,,,,,,,0.0
rs_x_compression,RS_T2_mid,_MARGINAL_A_,RS_T2_mid|_marginal_,20,2098,false,0.019825200504900827,,,,,,,,,,0.0
rs_x_compression,RS_T3_high,_MARGINAL_A_,RS_T3_high|_marginal_,20,2220,false,0.03743263800783093,,,,,,,,,,0.0
rs_x_compression,RS_T1_low,comp_no,RS_T1_low|comp_no,20,2093,false,0.02049012980545929,0.012529921892898218,0.004975124378109319,0.11870032636291812,0.5222169135212613,-0.0942534240015324,0.14961294862772692,0.01464012980545929,-0.05051246664073026,0.07383747460366094,-0.0010493352913535266
rs_x_compression,RS_T1_low,comp_yes,RS_T1_low|comp_yes,20,402,false,0.023316914573715875,0.01181087006419381,0.0035853808985297775,0.1278623130397526,0.5099502487562189,-0.087140961109859,0.1367624501482771,0.017466914573715877,-0.05008104765229359,0.07850589465203217,0.008682034157235584
rs_x_compression,RS_T2_mid,comp_no,RS_T2_mid|comp_no,20,1950,false,0.02100034115134293,0.012517450938588618,0.005540208717004336,0.1042771583917251,0.536923076923077,-0.07417549894459392,0.12268817204301087,0.015150341151342925,-0.04039705480504021,0.06490570594687782,0.0005812632616373353
rs_x_compression,RS_T2_mid,comp_yes,RS_T2_mid|comp_yes,20,148,false,0.004341928474075871,-0.0015887381844633716,-0.004316441143386418,0.09175033800026708,0.46621621621621623,-0.09209051724137925,0.07897488282658345,-0.0015080715259241343,-0.04007913639600207,0.051177593900983635,-0.0091725647352972
rs_x_compression,RS_T3_high,comp_no,RS_T3_high|comp_no,20,2184,false,0.03736009655304406,0.02479222621690852,0.009118878017683296,0.15960333239235344,0.5357142857142857,-0.11194473870056496,0.22158311249863868,0.03151009655304405,-0.059912714386344317,0.10668665984452495,-0.0006664188395916378
rs_x_compression,RS_T3_high,comp_yes,RS_T3_high|comp_yes,20,36,false,0.04183348626490157,0.03028043874415184,0.008028211284513809,0.21292110553671023,0.5555555555555556,-0.12953823898404898,0.2272665163626426,0.03598348626490158,-0.05634060628641377,0.10054230112741427,0.010711555552598399
rs_x_failed_breakdown,RS_T1_low,_MARGINAL_A_,RS_T1_low|_marginal_,5,2516,false,0.0018136484732261824,,,,,,,,,,0.0
rs_x_failed_breakdown,RS_T2_mid,_MARGINAL_A_,RS_T2_mid|_marginal_,5,2107,false,0.0017890356985037629,,,,,,,,,,0.0
rs_x_failed_breakdown,RS_T3_high,_MARGINAL_A_,RS_T3_high|_marginal_,5,2235,false,0.0054454141151283044,,,,,,,,,,0.0
rs_x_failed_breakdown,RS_T1_low,has_absorption,RS_T1_low|has_absorption,5,1049,false,-0.0014955876610212614,-0.003243263633672841,-0.004474272930648837,0.06078160164139493,0.44518589132507147,-0.06810283761823407,0.06158566733560189,-0.00734558766102126,-0.024579913534817886,0.023839487675998163,-0.00024308063162849312
