date,stock_id,score,decision,reject_reason
2024-06-06,2330,0.6,accepted,
2024-06-13,0050,0.6,rejected,symbol_already_held
2024-06-13,2317,0.6,accepted,
2024-06-13,2454,0.6,rejected,sector_cap_semi
2024-06-19,2308,0.7,rejected,sector_cap_electronics
2024-06-19,2317,0.6,rejected,symbol_already_held
2024-06-19,00878,0.5,rejected,etf_cap
2024-06-28,2881,0.6,accepted,
2024-07-03,2891,0.6,rejected,cash_buffer
2024-07-04,2891,0.6,rejected,cash_buffer
2024-07-09,3711,0.6,rejected,cash_buffer
2024-09-20,2412,0.6,accepted,
2024-09-20,2881,0.6,accepted,
2024-09-24,2882,0.5,rejected,sector_cap_financial
2024-09-26,2882,0.6,rejected,sector_cap_financial
2024-10-15,2317,0.6,accepted,
2024-10-15,3711,0.6,rejected,sector_cap_electronics
2024-10-17,0056,0.6,accepted,
2024-10-18,0050,0.7,rejected,sector_cap_etf
2024-10-18,006208,0.6,rejected,sector_cap_etf
2024-10-18,2330,0.6,accepted,
2024-10-18,2882,0.6,rejected,cash_buffer
2024-11-20,2891,0.6,accepted,
2024-12-10,2454,0.7,accepted,
2024-12-11,2308,0.7,accepted,
2024-12-12,2882,0.7,rejected,sector_cap_financial
2024-12-12,2454,0.6,rejected,symbol_already_held
2024-12-13,2308,0.7,rejected,symbol_already_held
2024-12-16,2882,0.6,rejected,sector_cap_financial
2025-01-06,2330,0.7999999999999999,rejected,sector_cap_semi
2025-01-06,0050,0.7,accepted,
2025-01-06,006208,0.7,rejected,sector_cap_etf
2025-01-07,2454,0.7,rejected,symbol_already_held
2025-01-07,3711,0.7,accepted,
2025-01-07,0050,0.5,rejected,symbol_already_held
2025-01-07,006208,0.5,rejected,sector_cap_etf
2025-02-03,2412,0.7,accepted,
2025-02-10,2891,0.5,accepted,
2025-02-19,00878,0.7,accepted,
2025-02-24,00919,0.5,rejected,etf_cap
2025-02-26,2891,0.6,rejected,symbol_already_held
2025-02-27,2412,0.6,rejected,symbol_already_held
2025-03-03,2412,0.5,rejected,symbol_already_held
2025-08-06,2412,0.6,accepted,
2025-08-07,2330,0.7,accepted,
2025-08-07,0050,0.6,accepted,
2025-08-14,2882,0.6,accepted,
2025-08-25,2881,0.6,rejected,sector_cap_financial
2025-09-01,3711,0.7,accepted,
2025-09-05,2454,0.7,accepted,
2025-09-08,3711,0.7999999999999999,rejected,symbol_already_held
2025-09-08,0056,0.6,accepted,
2025-09-09,2454,0.7,rejected,symbol_already_held
2025-09-09,0056,0.5,rejected,symbol_already_held
2025-09-10,0056,0.6,rejected,symbol_already_held
2025-09-10,006208,0.6,rejected,etf_cap
2025-09-10,2330,0.5,rejected,sector_cap_semi
2025-09-11,2317,0.7,rejected,sector_cap_electronics
2025-09-11,006208,0.5,rejected,etf_cap
2025-09-16,2454,0.6,rejected,symbol_already_held
2025-09-16,2891,0.5,accepted,
2025-09-19,00878,0.5,rejected,etf_cap
2025-09-23,2317,0.6,rejected,sector_cap_electronics
2025-10-09,2881,0.6,accepted,
2025-10-16,3711,0.7,accepted,
2025-10-17,3711,0.6,rejected,symbol_already_held
2025-10-20,2317,0.6,rejected,sector_cap_electronics
2025-11-03,2303,0.7,accepted,
2025-11-13,2881,0.7999999999999999,rejected,symbol_already_held
2025-11-24,2891,0.6,accepted,
2025-12-02,2882,0.6,rejected,sector_cap_financial
2025-12-05,2303,0.6,accepted,
2025-12-12,00919,0.6,accepted,
2025-12-12,2891,0.6,rejected,symbol_already_held
2025-12-17,00878,0.7,rejected,etf_cap
2025-12-17,2303,0.7,rejected,symbol_already_held
2025-12-22,00878,0.6,rejected,etf_cap
2025-12-26,006208,0.6,rejected,etf_cap
2025-12-29,006208,0.6,rejected,etf_cap
2025-12-29,00878,0.6,rejected,etf_cap
2025-12-31,006208,0.7,rejected,etf_cap
2026-01-02,0056,0.6,rejected,etf_cap
2026-01-02,006208,0.6,rejected,etf_cap
2026-01-02,00878,0.5,rejected,etf_cap
2026-01-05,0056,0.6,rejected,etf_cap
2026-01-07,0056,0.6,rejected,etf_cap
2026-01-16,2308,0.7,accepted,
2026-01-23,2454,0.7,accepted,
2026-02-09,3711,0.6,accepted,
2026-02-23,2412,0.7,accepted,
2026-02-23,2882,0.7,rejected,cash_buffer
2026-02-23,2891,0.7,rejected,symbol_already_held
2026-02-23,00878,0.6,rejected,cash_buffer
2026-02-25,2317,0.7,rejected,cash_buffer
2026-02-25,00878,0.6,rejected,cash_buffer
2026-02-26,00919,0.5,rejected,cash_buffer
2026-03-02,2412,0.6,rejected,symbol_already_held
2026-04-22,00919,0.6,accepted,
2026-04-29,2882,0.7,accepted,
2026-05-05,00919,0.6,rejected,symbol_already_held
2026-05-06,00919,0.7,rejected,symbol_already_held
