stock_id,sector,is_etf,entry_date,exit_date,holding_days,entry_price,exit_price,shares,notional_at_entry,exit_proceeds,net_pnl_ntd,gross_return_pct,regime_at_entry,regime_at_exit,exit_reason,score
2891,financial,false,2022-04-06,2022-04-07,1,24.824469567324478,24.98914266561519,8056.566907002619,200000.0,200435.82918739636,435.8291873963608,0.6633499170812795,bull,bear,regime_exit,0.7
3711,electronics,false,2023-01-30,2023-01-31,1,91.0035594184151,86.67005658896676,2232.8827395009,203200.2770585236,192667.72936432346,-10532.547694200155,-4.761904761904756,bull,bull,trailing_stop,0.7
2881,financial,false,2023-01-17,2023-02-09,23,47.79717344807485,47.237674762227826,4184.978972758398,200030.1658374793,196813.90321238502,-3216.2626250942703,-1.1705685618728978,bull,bull,trailing_stop,0.7
00878,etf,true,2023-02-16,2023-03-10,22,13.431739358864917,13.447513568329232,14943.830909898355,200721.64180470386,200068.13256618864,-653.5092385152238,0.11743981209628718,bull,bull,trailing_stop,0.5
2303,semi,false,2023-01-17,2023-04-11,84,38.10287022085,42.78798919251055,5249.7401029915645,200030.1658374793,223631.85352444527,23601.687686965975,12.295973884657219,bull,bull,trailing_stop,0.7
0050,etf,true,2023-03-23,2023-04-13,21,28.436936494507616,27.88850152723562,7149.848614851147,203319.79100586532,198516.22536901428,-4803.565636851039,-1.928600738613051,bull,bull,trailing_stop,0.6
2308,electronics,false,2023-04-14,2023-04-25,11,294.8176368743342,278.41283990994356,680.4960767649576,200622.2452541003,188620.48988934408,-12001.755364756216,-5.564387917329105,bull,bull,trailing_stop,0.7999999999999999
2412,telecom,false,2023-05-25,2023-06-05,11,113.97097928641578,111.29978445939041,1755.5305978970807,200079.5414095973,194525.57562388657,-5553.965785710723,-2.34375,bull,bull,trailing_stop,0.7
2891,financial,false,2023-05-16,2023-06-16,31,20.48205109195916,21.351777252976536,9687.478773436884,198419.43518980412,205929.60027992105,7510.165090116934,4.24628450106157,bull,bull,trailing_stop,0.5
2308,electronics,false,2023-06-07,2023-06-26,19,307.94147444584667,326.2211053490248,659.8234788993603,203187.01496625703,214295.87069683685,11108.855730579817,5.936073059360747,bull,bull,trailing_stop,0.6
2330,semi,false,2023-05-25,2023-06-27,33,515.6097302073102,545.6903701833485,388.044541613192,200079.5414095973,210815.16621022517,10735.624800627877,5.83399385499257,bull,bull,trailing_stop,0.7
00878,etf,true,2023-05-15,2023-07-07,53,14.062707737437547,15.462321260068395,14091.50503168748,198164.71684125165,216923.22619088972,18758.509349638072,9.952660246965216,bull,bull,trailing_stop,0.5
0056,etf,true,2023-07-12,2023-08-02,21,25.025877378957535,25.89973518853713,8247.126421655219,206391.57455710435,212653.21750979434,6261.642952689988,3.491816875576781,bull,bull,trailing_stop,0.6
2891,financial,false,2023-07-14,2023-08-04,21,22.091044489841302,22.254818700114022,9407.659756771158,207825.03023212124,208439.318781215,614.2885490937624,0.7413601939375569,bull,bull,trailing_stop,0.6
2454,semi,false,2023-08-01,2023-08-11,10,640.3651519972489,609.8288053381935,328.89995558002107,210616.07004688858,199685.13293573103,-10930.937111157546,-4.768583450210373,bull,bull,trailing_stop,0.7
00919,etf,true,2023-09-05,2023-09-21,16,15.564864841749209,15.491610566620416,13196.548650519331,205402.4961229013,203531.1641354166,-1871.3319874847075,-0.4706386844574806,bull,bull,trailing_stop,0.6
2454,semi,false,2023-09-12,2023-09-21,9,653.8370696409497,670.0033708133908,313.733668234613,205130.70228622528,209272.46868233805,4141.766396112769,2.472527472527486,bull,bull,trailing_stop,0.7
0056,etf,true,2023-10-02,2023-10-18,16,26.822849482420082,26.192429964646358,7670.31038883187,205739.5810430803,200015.06716715352,-5724.513875926787,-2.350307778399552,bull,bull,trailing_stop,0.6
2454,semi,false,2023-10-11,2023-10-26,15,731.0760641315015,733.7704476602418,281.4030001313594,205726.99777083067,205571.50834551916,-155.48942531150533,0.3685503685503688,bull,bear,regime_exit,0.6
3711,electronics,false,2023-10-20,2023-10-26,6,110.65296472819601,104.58339282327387,1854.3115517196923,205185.0707275255,193072.0523243063,-12113.018403219205,-5.485232067510548,bull,bear,regime_exit,0.6
2454,semi,false,2023-10-30,2023-10-31,1,769.6955613767774,756.2236437330765,262.39625264410813,201965.2309820695,197552.19641895915,-4413.0345631103555,-1.7502917152858788,bull,bear,regime_exit,0.7
2330,semi,false,2023-11-13,2023-11-27,14,547.7739294190745,544.8959578109183,366.98545363743165,201025.06397861755,199084.02792303136,-1941.0360555861844,-0.5253940455341555,bull,bull,trailing_stop,0.5
0050,etf,true,2023-11-13,2023-12-07,24,30.474210011950227,30.78203031510124,6596.563582773339,201025.06397861755,202157.09906112342,1132.0350825058704,1.0101010101010166,bull,bull,trailing_stop,0.6
00919,etf,true,2023-12-11,2023-12-25,14,16.711659624370785,16.9926430756381,12287.74720521561,205348.64884387667,207877.35669850456,2528.7078546278935,1.6813617413410809,bull,bull,trailing_stop,0.7
3711,electronics,false,2023-11-13,2024-01-03,51,114.38808590045579,118.12320707271557,1757.3951202711448,201025.06397861755,206670.5657217942,5645.501743176661,3.2653061224489743,bull,bull,trailing_stop,0.7
2330,semi,false,2023-12-15,2024-01-03,19,564.1375879646366,557.3872236642051,368.11341195572413,207666.61231813484,204273.7836049341,-3392.8287132007245,-1.1965811965811923,bull,bull,trailing_stop,0.5
0056,etf,true,2023-12-26,2024-01-03,8,28.75726732023487,28.508555819086894,7205.967753207895,207223.9409799917,204522.69850025876,-2701.2424797329295,-0.8648648648648671,bull,bull,trailing_stop,0.6
2891,financial,false,2023-11-14,2024-01-17,64,23.65705321170657,24.923587609274037,8511.014431628015,201345.52129462652,211186.36064427663,9840.839349650108,5.3537284894837445,bull,bull,trailing_stop,0.5
2412,telecom,false,2024-02-05,2024-02-29,24,112.54629630178172,111.61998933633497,1811.3143191187219,203856.7180551957,201284.24341872492,-2572.4746364707826,-0.8230452674897082,bull,bull,trailing_stop,0.6
2881,financial,false,2024-02-15,2024-04-03,48,56.105439321029756,58.94078311520124,3661.1531439165474,205410.60556100716,214836.35719929586,9425.751638288697,5.053598774885137,bull,bull,trailing_stop,0.6
